date,Revenue,Net_Income,EPS,Total_Debt,Total_Equity,Net_Debt,symbol,yf_ticker
2018-09-30,204225.0,1188.0,0.27,1272686.0,763996.0,1211300.0,BHARTIARTL,BHARTIARTL.NS
2018-12-31,202310.0,862.0,0.2,1210468.0,832059.0,1145549.0,BHARTIARTL,BHARTIARTL.NS
2019-03-31,206022.0,1072.0,1.06,1254283.0,849480.0,1173643.0,BHARTIARTL,BHARTIARTL.NS
2019-06-30,207379.0,-28660.0,-5.08,1298920.0,1040449.0,1222844.0,BHARTIARTL,BHARTIARTL.NS
2019-09-30,211313.0,-230449.0,-40.85,1369170.0,870149.0,1241433.0,BHARTIARTL,BHARTIARTL.NS
2019-12-31,213436.0,-10353.0,-1.84,1464724.0,911205.0,1339074.0,BHARTIARTL,BHARTIARTL.NS
2020-03-31,230187.0,-52370.0,-9.28,1482281.0,1021295.0,1323507.0,BHARTIARTL,BHARTIARTL.NS
2020-06-30,232903.0,-159331.0,-28.25,1455831.0,858446.0,1298399.0,BHARTIARTL,BHARTIARTL.NS
2020-09-30,250604.0,-7632.0,-1.35,1596673.0,842970.0,1461936.0,BHARTIARTL,BHARTIARTL.NS
2020-12-31,265178.0,8536.0,1.56,1581780.0,778411.0,1449545.0,BHARTIARTL,BHARTIARTL.NS
2021-03-31,257473.0,7592.0,1.36,1627852.0,812266.0,1512036.0,BHARTIARTL,BHARTIARTL.NS
2021-06-30,268536.0,2835.0,0.51,1688329.0,820943.0,1560968.0,BHARTIARTL,BHARTIARTL.NS
2021-09-30,283264.0,11340.0,2.06,1803832.0,835516.0,1684050.0,BHARTIARTL,BHARTIARTL.NS
2021-12-31,298666.0,8296.0,1.48,1684439.0,887636.0,1542860.0,BHARTIARTL,BHARTIARTL.NS
2022-03-31,315003.0,20078.0,3.54,1696779.0,919350.0,1561836.0,BHARTIARTL,BHARTIARTL.NS
2022-06-30,328046.0,16069.0,2.84,1780540.0,946108.0,1645365.0,BHARTIARTL,BHARTIARTL.NS
2022-09-30,345268.0,21452.0,3.75,2179889.0,1005595.0,2060996.0,BHARTIARTL,BHARTIARTL.NS
2022-12-31,358044.0,15882.0,2.67,2221175.0,1021998.0,2103141.0,BHARTIARTL,BHARTIARTL.NS
2023-03-31,360090.0,30056.0,5.04,2260203.0,1064443.0,2135612.0,BHARTIARTL,BHARTIARTL.NS
2023-06-30,374400.0,16125.0,2.7,2249566.0,1030533.0,2098970.0,BHARTIARTL,BHARTIARTL.NS
2023-09-30,370438.0,13407.0,2.24,2173590.0,1034092.0,2030836.0,BHARTIARTL,BHARTIARTL.NS
2023-12-31,378995.0,24422.0,4.06,2184853.0,1035469.0,2015672.0,BHARTIARTL,BHARTIARTL.NS
2024-03-31,375991.0,20716.0,3.51,2155923.0,1055639.0,2023821.0,BHARTIARTL,BHARTIARTL.NS
2024-06-30,385064.0,41599.0,6.84,2088743.0,1120335.0,1966158.0,BHARTIARTL,BHARTIARTL.NS
2024-09-30,414733.0,35932.0,6.0,2255408.0,1103030.0,2133018.0,BHARTIARTL,BHARTIARTL.NS
2024-12-31,451293.0,147812.0,24.65,2046230.0,1514323.0,1889127.0,BHARTIARTL,BHARTIARTL.NS
2025-03-31,478762.0,110218.0,18.38,2136421.0,1534677.0,1990680.0,BHARTIARTL,BHARTIARTL.NS
2025-06-30,494626.0,59479.0,9.9,2033545.0,1607482.0,1853456.0,BHARTIARTL,BHARTIARTL.NS
2025-09-30,521454.0,67917.0,11.15,2080097.0,1603540.0,1890258.0,BHARTIARTL,BHARTIARTL.NS
2025-12-31,539816.0,66305.0,10.88,1979059.0,1690131.0,1762508.0,BHARTIARTL,BHARTIARTL.NS
